Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,Price,Sqm_price,log_sqm_price,Price_development,Owner_expense,Sqm_owner_expenses,Yearly_expenses,First_year_expenses,Sqm_yearly_expenses,log_sqm_yearly_exp,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
"Dexter Gordons Vej 59, 5 TH",2450,København,55.64783009403428,12.548025241142941,5,4,109,0,5195000,47660,10.771847750652736,0.0,4465,40.96330275229358,230004.0,485004.0,2110.1284403669724,7.654504096829308,4.0,0,1.6327460694954685,2.3938294010680328,1.746536978036556,4.196698148003382
"Roskildevej 143, TV",2500,København,55.67230503647947,12.491660034349971,0,2,67,0,2150000,32089,10.376268571262473,0.0,3882,57.94029850746269,119634.0,224634.0,1785.5820895522388,7.487499741643988,4.0,0,1.1279469958545238,1.5565398064295324,3.1168727594657653,4.845334451163647
"Skjeberg Alle 39, st th",2630,Høje-Taastrup,55.643773760176934,12.267006803370789,0,3,90,0,2245000,24944,10.124388591297556,0.0,2849,31.655555555555555,110442.0,220442.0,1227.1333333333334,7.112436104930513,5.0,0,0.8552744444865312,14.909803156209257,17.1874538735062,19.33204183437659
"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,120,0,6299000,52491,10.868397005312731,0.0,4664,38.86666666666667,269500.8,584500.8,2245.84,7.716834895004848,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,113,0,5599000,49548,10.81069717567409,0.0,4386,38.8141592920354,242434.8,522434.8,2145.4407079646016,7.671100268517016,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Christianshavns Voldgade 19, 3 TH",1424,København,55.670251795626726,12.58984722524589,3,2,58,0,3200000,55172,10.91821085719541,0.0,2537,43.74137931034483,138924.0,298924.0,2395.2413793103447,7.781239289447309,3.0,0,0.938662291963255,0.2604926290773745,1.11469019606671,2.166906962126172
"Gothersgade 87, TH",1123,København,55.683313,12.577932,0,4,121,0,4995000,41280,10.628133400155443,0.0,5762,47.6198347107438,238788.0,483788.0,1973.4545454545453,7.587540862384925,3.0,0,0.5098937168404735,0.3815069031523027,0.7373738012460659,0.7712429834464215
"Berings Gade 34, TH",2630,Høje-Taastrup,55.643824,12.262518,0,3,88,25946,2195000,24943,10.124348500692788,0.0,2558,29.068181818181817,105420.0,210420.0,1197.9545454545455,7.088370835930991,5.0,0,0.6426639354198865,15.175434672766222,17.46730395820216,19.605601445925675
"Bispeengen 9, 4 th",2000,Frederiksberg,55.6937040995981,12.53530942384708,4,3,68,0,2995000,44044,10.692944413233484,0.0,2022,29.735294117647058,126108.0,271108.0,1854.5294117647054,7.525386256477491,3.0,0,0.6124991679482877,1.3873343710074055,1.745196209359196,2.1900649701461035
Gl Hovedgade 12,2970,Rudersdal,55.87743994543621,12.498729877873561,0,3,82,0,2195000,26768,10.194962423226606,0.0,3022,36.85365853658536,110988.0,215988.0,1353.5121951219512,7.210458119078008,3.0,0,1.9305345018099243,21.175564441405047,21.136958412413122,21.925892604781346
