,Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,log_sqm_price,Sqm_price,Price,Owner_expense,Price_development,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
0,"Dexter Gordons Vej 59, 5 TH",2450,København,55.64783009403428,12.548025241142941,5,4,109,0,10.771847750652736,47660,5195000,4465,0.0,4.0,0,1.6327460694952918,2.3938294010681207,1.746536978036556,4.196698148001967
1,"Roskildevej 143, TV",2500,København,55.67230503647947,12.491660034349971,0,2,67,0,10.376268571262473,32089,2150000,3882,0.0,4.0,0,1.1279469958545238,1.5565398064295324,3.1168727594657653,4.845334451163647
2,"Skjeberg Alle 39, st th",2630,Høje-Taastrup,55.643773760176934,12.267006803370789,0,3,90,0,10.124388591297556,24944,2245000,2849,0.0,5.0,0,0.8552744444865312,14.909803156209257,17.1874538735062,19.33204183437659
3,"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,120,0,10.868397005312731,52491,6299000,4664,0.0,5.0,0,1.6419164186430644,2.406310041121237,1.881208614331411,4.350246737660529
4,"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,113,0,10.81069717567409,49548,5599000,4386,0.0,5.0,0,1.6419164186430644,2.406310041121237,1.881208614331411,4.350246737660529
5,"Christianshavns Voldgade 19, 3 TH",1424,København,55.670251795626726,12.58984722524589,3,2,58,0,10.91821085719541,55172,3200000,2537,0.0,3.0,0,0.938662291963255,0.2604926290773745,1.11469019606671,2.166906962126172
6,"Gothersgade 87, TH",1123,København,55.683313,12.577932,0,4,121,0,10.628133400155443,41280,4995000,5762,0.0,3.0,0,0.5098937168404735,0.3815069031523027,0.7373738012460659,0.7712429834464215
7,"Berings Gade 34, TH",2630,Høje-Taastrup,55.643824,12.262518,0,3,88,25946,10.124348500692788,24943,2195000,2558,0.0,5.0,0,0.6426639354198865,15.175434672766222,17.46730395820216,19.605601445925675
8,"Bispeengen 9, 4 th",2000,Frederiksberg,55.6937040995981,12.53530942384708,4,3,68,0,10.692944413233484,44044,2995000,2022,0.0,3.0,0,0.6124991679482877,1.3873343710074055,1.745196209359196,2.1900649701461035
9,Gl Hovedgade 12,2970,Rudersdal,55.87743994543621,12.498729877873561,0,3,82,0,10.194962423226606,26768,2195000,3022,0.0,3.0,0,1.9305345018099243,21.175564441405047,21.136958412413122,21.925892604781346
10,Dexter Gordons Vej 4 - HUSBÅD,2450,København,55.647486388894116,12.549647789548972,0,3,94,0,10.657259354912508,42500,3995000,6434,0.0,5.0,0,1.7401324756923537,2.288117151195746,1.8208531666531749,4.207828970710862
