Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,Price,Sqm_price,log_sqm_price,Price_development,Owner_expense,Sqm_owner_expenses,Yearly_expenses,First_year_expenses,Sqm_yearly_expenses,log_sqm_yearly_exp,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
Frederikssundsvej 346,2700,København,55.712980534164934,12.469856333110108,0,1,36,0,675000,18750,9.838949031398556,0.0,1742,48.38888888888889,44034.0,74034.0,1223.1666666666667,7.109198403317008,3.0,189,1.3503868660107117,3.155289561820953,6.325175496845003,6.830672225373541
"Blåbærhaven 11, 1 tv",2980,Hørsholm,55.9141452864357,12.49451412462162,1,2,69,0,1295000,18768,9.839908570893256,0.0,2942,42.63768115942029,79518.0,139518.0,1152.4347826086955,7.0496321855114745,3.0,4,0.6509438354335746,25.257803611785068,25.20460384633573,25.99243282926456
"Albertslundvej 95, st TV",2625,Vallensbæk,55.652497989241546,12.35379116236006,0,4,104,0,1995000,19182,9.861727618287896,0.0,3435,33.028846153846146,109164.0,204164.0,1049.6538461538462,6.9562157184686875,4.0,65,3.038483542541472,9.46715350052693,11.649587062432234,13.796740469154045
"Albertslundvej 83, 1 tv",2625,Vallensbæk,55.653281418218356,12.353746890719528,1,4,104,0,1995000,19182,9.861727618287896,0.0,3297,31.70192307692308,107508.0,202508.0,1033.7307692307693,6.940929643244206,4.0,11,3.045905948423915,9.434265934334206,11.644263698753393,13.777277000570033
"Vejlebrovej 64, 3 th",2635,Ishøj,55.612081075760926,12.36109122733422,3,3,96,0,1845000,19218,9.863602618837213,0.0,3289,34.260416666666664,102162.0,192162.0,1064.1875,6.969966876180862,3.0,224,1.8173463374623358,11.708440761136242,12.475128000378945,15.180802150246336
"Hammeren 33, 4 225",2630,Høje-Taastrup,55.65345834113312,12.27099428243336,4,2,96,36100,1850000,19270,9.866304761408413,0.0,4025,41.927083333333336,111180.0,201180.0,1158.125,7.054557597039625,4.0,52,1.1093671283155888,14.351108345980089,16.837814081670547,18.860918054587586
"Frederikssundsvej 346, 2 216",2700,København,55.712980534164934,12.469856333110108,2,1,36,0,695000,19305,9.868119408698336,0.0,1431,39.75,41046.0,71046.0,1140.1666666666667,7.038929729532943,3.0,78,1.3503868660107117,3.155289561820953,6.325175496845003,6.830672225373541
Pærevangen 1B,2765,Egedal,55.74333167346954,12.312145551228037,0,4,134,0,2595000,19365,9.871222591948852,-5.6,3151,23.51492537313433,126096.0,251096.0,941.0149253731344,6.846959000642519,3.0,304,1.5250602171518282,12.860132091082873,16.785915742872856,17.248151691241453
Ved Slusen 32Z,2300,Tårnby,55.64181999195576,12.552807218430884,0,3,72,0,1400000,19444,9.875293818165344,0.0,3454,47.97222222222222,88908.0,158908.0,1234.8333333333333,7.118691287188603,5.0,11,2.1341598900651886,1.9414882977772852,2.4795297530824136,4.784643845883009
"Vejlebrovej 50, 2 TV",2635,Ishøj,55.611300724481886,12.360039553621721,2,3,96,0,1875000,19531,9.879758225836893,-10.5,2909,30.30208333333333,98718.0,188718.0,1028.3125,6.935674388146869,4.0,205,1.7188686170386451,11.816917594547059,12.573540623277873,15.283093488668332
