date,identifier,type,value,country
1864-01-01,ITE00100550,TMAX,1.0,IT
1864-01-01,ASN00086071,TMAX,21.4,AS
1864-01-01,CA006158350,TMAX,1.1,CA
1864-01-01,EIE00101859,TMAX,9.4,EI
1864-01-01,BE000006447,TMAX,-2.3,BE
1864-01-01,GME00125218,TMAX,-8.1,GM
1864-01-01,EZE00100082,TMAX,-9.2,EZ
1864-01-01,ITE00100554,TMAX,1.7,IT
1864-01-01,ASN00066062,TMAX,24.4,AS
1864-01-01,AU000005901,TMAX,-5.0,AU
1864-01-01,GM000004204,TMAX,-6.8,GM
1864-01-01,UK000047811,TMAX,5.9,UK
1864-01-01,UK000056225,TMAX,0.5,UK
1864-01-01,SZ000006717,TMAX,-8.2,SZ
1864-01-02,ITE00100550,TMAX,0.8,IT
1864-01-02,ASN00086071,TMAX,23.4,AS
1864-01-02,CA006158350,TMAX,-16.1,CA
1864-01-02,EIE00101859,TMAX,7.8,EI
1864-01-02,BE000006447,TMAX,-2.5,BE
1864-01-02,AGE00135039,TMAX,14.0,AG
1864-01-02,GME00125218,TMAX,-7.1,GM
1864-01-02,EZE00100082,TMAX,-9.8,EZ
1864-01-02,ITE00100554,TMAX,-0.3,IT
1864-01-02,ASN00066062,TMAX,26.6,AS
1864-01-02,AU000005901,TMAX,-7.0,AU
1864-01-02,GM000004204,TMAX,-6.3,GM
1864-01-02,UK000047811,TMAX,4.2,UK
1864-01-02,UK000056225,TMAX,-0.1,UK
1864-01-02,SZ000006717,TMAX,-10.7,SZ
1864-01-03,ITE00100550,TMAX,-2.8,IT
1864-01-03,ASN00086071,TMAX,33.9,AS
1864-01-03,CA006158350,TMAX,-10.6,CA
1864-01-03,EIE00101859,TMAX,6.7,EI
1864-01-03,BE000006447,TMAX,-3.6,BE
1864-01-03,GME00125218,TMAX,-7.1,GM
1864-01-03,EZE00100082,TMAX,-9.1,EZ
1864-01-03,ITE00100554,TMAX,-0.7,IT
1864-01-03,ASN00066062,TMAX,24.6,AS
1864-01-03,AU000005901,TMAX,-7.5,AU
1864-01-03,GM000004204,TMAX,-6.6,GM
1864-01-03,UK000047811,TMAX,4.1,UK
1864-01-03,UK000056225,TMAX,-1.8,UK
1864-01-03,SZ000006717,TMAX,-16.5,SZ
1864-01-04,ITE00100550,TMAX,0.0,IT
1864-01-04,ASN00086071,TMAX,22.1,AS
1864-01-04,CA006158350,TMAX,-8.9,CA
1864-01-04,EIE00101859,TMAX,7.8,EI
1864-01-04,BE000006447,TMAX,-6.1,BE
1864-01-04,AGE00135039,TMAX,9.0,AG
1864-01-04,GME00125218,TMAX,-11.5,GM
1864-01-04,EZE00100082,TMAX,-9.2,EZ
1864-01-04,ITE00100554,TMAX,-0.9,IT
1864-01-04,ASN00066062,TMAX,34.3,AS
1864-01-04,AU000005901,TMAX,-6.5,AU
1864-01-04,GM000004204,TMAX,-12.1,GM
1864-01-04,UK000047811,TMAX,4.3,UK
1864-01-04,UK000056225,TMAX,-1.6,UK
1864-01-04,SZ000006717,TMAX,-10.5,SZ
1864-01-05,ITE00100550,TMAX,-1.9,IT
1864-01-05,ASN00086071,TMAX,21.9,AS
1864-01-05,CA006158350,TMAX,-6.7,CA
1864-01-05,EIE00101859,TMAX,1.1,EI
1864-01-05,BE000006447,TMAX,-3.1,BE
1864-01-05,AGE00135039,TMAX,9.5,AG
1864-01-05,GME00125218,TMAX,-9.6,GM
1864-01-05,EZE00100082,TMAX,-10.5,EZ
1864-01-05,ITE00100554,TMAX,-1.2,IT
1864-01-05,ASN00066062,TMAX,28.4,AS
1864-01-05,AU000005901,TMAX,-6.5,AU
1864-01-05,GM000004204,TMAX,-12.5,GM
1864-01-05,UK000047811,TMAX,2.4,UK
1864-01-05,UK000056225,TMAX,-3.8,UK
1864-01-05,SZ000006717,TMAX,-11.1,SZ
1864-01-06,ITE00100550,TMAX,-1.3,IT
1864-01-06,ASN00086071,TMAX,18.8,AS
1864-01-06,CA006158350,TMAX,-8.9,CA
1864-01-06,EIE00101859,TMAX,1.7,EI
1864-01-06,BE000006447,TMAX,-2.2,BE
1864-01-06,AGE00135039,TMAX,11.5,AG
1864-01-06,GME00125218,TMAX,-7.6,GM
1864-01-06,EZE00100082,TMAX,-9.1,EZ
1864-01-06,ITE00100554,TMAX,-1.2,IT
1864-01-06,ASN00066062,TMAX,23.9,AS
1864-01-06,AU000005901,TMAX,-4.3,AU
1864-01-06,GM000004204,TMAX,-10.3,GM
1864-01-06,UK000047811,TMAX,0.2,UK
1864-01-06,UK000056225,TMAX,-2.0,UK
1864-01-06,SZ000006717,TMAX,-7.6,SZ
1864-01-07,ITE00100550,TMAX,-0.4,IT
1864-01-07,ASN00086071,TMAX,24.3,AS
1864-01-07,CA006158350,TMAX,-8.3,CA
1864-01-07,EIE00101859,TMAX,3.3,EI
1864-01-07,BE000006447,TMAX,-2.7,BE
1864-01-07,AGE00135039,TMAX,12.5,AG
1864-01-07,GME00125218,TMAX,-6.5,GM
1864-01-07,EZE00100082,TMAX,-10.5,EZ
1864-01-07,ITE00100554,TMAX,-0.2,IT
1864-01-07,ASN00066062,TMAX,22.2,AS
1864-01-07,AU000005901,TMAX,-4.8,AU
1864-01-07,GM000004204,TMAX,-8.3,GM
1864-01-07,UK000047811,TMAX,0.3,UK
1864-01-07,UK000056225,TMAX,0.2,UK
1864-01-07,SZ000006717,TMAX,-8.5,SZ
1864-01-08,ITE00100550,TMAX,1.3,IT
1864-01-08,ASN00086071,TMAX,35.9,AS
1864-01-08,CA006158350,TMAX,-10.0,CA
1864-01-08,EIE00101859,TMAX,1.7,EI
1864-01-08,BE000006447,TMAX,1.8,BE
1864-01-08,AGE00135039,TMAX,15.0,AG
1864-01-08,GME00125218,TMAX,-4.3,GM
1864-01-08,EZE00100082,TMAX,-8.3,EZ
1864-01-08,ITE00100554,TMAX,1.0,IT
1864-01-08,ASN00066062,TMAX,23.3,AS
1864-01-08,AU000005901,TMAX,-4.5,AU
1864-01-08,GM000004204,TMAX,-3.5,GM
1864-01-08,UK000047811,TMAX,1.1,UK
1864-01-08,UK000056225,TMAX,4.4,UK
1864-01-08,SZ000006717,TMAX,-9.6,SZ
1864-01-09,ITE00100550,TMAX,1.3,IT
1864-01-09,ASN00086071,TMAX,30.0,AS
1864-01-09,CA006158350,TMAX,-9.4,CA
1864-01-09,EIE00101859,TMAX,3.3,EI
1864-01-09,BE000006447,TMAX,3.5,BE
1864-01-09,AGE00135039,TMAX,14.5,AG
1864-01-09,GME00125218,TMAX,-6.3,GM
